numero,latitud,longitud,fecha,tmax,tmin
22581,22.16502778,-102.2951944,2004-03-09 00:00:00,26.6,5
22581,22.16502778,-102.2951944,2004-03-10 00:00:00,24.3,8.4
22581,22.16502778,-102.2951944,2004-03-11 00:00:00,25.1,8.9
22581,22.16502778,-102.2951944,2004-03-12 00:00:00,24,8.1
22581,22.16502778,-102.2951944,2004-03-13 00:00:00,24.8,7.6
22581,22.16502778,-102.2951944,2004-03-14 00:00:00,25.6,3.7
22581,22.16502778,-102.2951944,2004-03-15 00:00:00,25,11.6
22581,22.16502778,-102.2951944,2004-03-16 00:00:00,22.8,4.4
22581,22.16502778,-102.2951944,2004-03-17 00:00:00,27.7,5.6
22581,22.16502778,-102.2951944,2004-03-18 00:00:00,30.2,7
22581,22.16502778,-102.2951944,2004-03-19 00:00:00,29.4,6.9
22581,22.16502778,-102.2951944,2004-03-20 00:00:00,30.3,9
22581,22.16502778,-102.2951944,2004-03-21 00:00:00,24.5,10.6
22581,22.16502778,-102.2951944,2004-03-22 00:00:00,25.3,9.5
22581,22.16502778,-102.2951944,2004-03-23 00:00:00,24.5,8.5
22581,22.16502778,-102.2951944,2004-03-24 00:00:00,27.7,5.1
22581,22.16502778,-102.2951944,2004-03-25 00:00:00,29.2,5.2
22581,22.16502778,-102.2951944,2004-03-26 00:00:00,29.5,9.7
22581,22.16502778,-102.2951944,2004-03-27 00:00:00,29.1,8.6
22581,22.16502778,-102.2951944,2004-03-28 00:00:00,29.1,8.1
22581,22.16502778,-102.2951944,2004-03-29 00:00:00,23.7,12.5
22581,22.16502778,-102.2951944,2004-03-30 00:00:00,18.5,9
22581,22.16502778,-102.2951944,2004-03-31 00:00:00,22,6.3
22581,22.16502778,-102.2951944,2004-04-01 00:00:00,23.7,6.3
22581,22.16502778,-102.2951944,2004-04-02 00:00:00,23.9,7.5
22581,22.16502778,-102.2951944,2004-04-03 00:00:00,24.4,6.3
22581,22.16502778,-102.2951944,2004-04-04 00:00:00,25.3,7
22581,22.16502778,-102.2951944,2004-04-05 00:00:00,25,9.7
22581,22.16502778,-102.2951944,2004-04-06 00:00:00,24.6,6.7
22581,22.16502778,-102.2951944,2004-04-07 00:00:00,24.1,10.8
22581,22.16502778,-102.2951944,2004-04-08 00:00:00,24.3,13
22581,22.16502778,-102.2951944,2004-04-09 00:00:00,26.1,7.3
22581,22.16502778,-102.2951944,2004-04-10 00:00:00,27.4,7.1
22581,22.16502778,-102.2951944,2004-04-11 00:00:00,26.9,6.1
22581,22.16502778,-102.2951944,2004-04-12 00:00:00,26.2,6.4
22581,22.16502778,-102.2951944,2004-04-13 00:00:00,24.8,6.2
22581,22.16502778,-102.2951944,2004-04-14 00:00:00,27.6,6.5
22581,22.16502778,-102.2951944,2004-04-15 00:00:00,29.7,7.5
22581,22.16502778,-102.2951944,2004-04-16 00:00:00,30.9,10
22581,22.16502778,-102.2951944,2004-04-17 00:00:00,29.2,11.8
22581,22.16502778,-102.2951944,2004-04-18 00:00:00,29.7,11.7
22581,22.16502778,-102.2951944,2004-04-19 00:00:00,30.3,9.6
22581,22.16502778,-102.2951944,2004-04-20 00:00:00,31.1,8.7
22581,22.16502778,-102.2951944,2004-04-21 00:00:00,31.1,11.4
22581,22.16502778,-102.2951944,2004-04-22 00:00:00,29.6,10.3
22581,22.16502778,-102.2951944,2004-04-23 00:00:00,29.6,12.3
22581,22.16502778,-102.2951944,2004-04-24 00:00:00,29.6,10.6
22581,22.16502778,-102.2951944,2004-04-25 00:00:00,29.2,8.3
22581,22.16502778,-102.2951944,2004-04-26 00:00:00,28.8,6.3
22581,22.16502778,-102.2951944,2004-04-27 00:00:00,26,14.3
22581,22.16502778,-102.2951944,2004-04-28 00:00:00,28.1,7.7
22581,22.16502778,-102.2951944,2004-04-29 00:00:00,28.5,8.7
22581,22.16502778,-102.2951944,2004-04-30 00:00:00,28.7,9.3
22581,22.16502778,-102.2951944,2004-05-01 00:00:00,28.7,10.8
22581,22.16502778,-102.2951944,2004-05-02 00:00:00,23.4,12.7
22581,22.16502778,-102.2951944,2004-05-03 00:00:00,23.5,9.3
22581,22.16502778,-102.2951944,2004-05-04 00:00:00,24.1,9.7
22581,22.16502778,-102.2951944,2004-05-05 00:00:00,26.4,11
22581,22.16502778,-102.2951944,2004-05-06 00:00:00,25.3,11.9
22581,22.16502778,-102.2951944,2004-05-07 00:00:00,26.3,12.3
22581,22.16502778,-102.2951944,2004-05-08 00:00:00,27.2,11.9
22581,22.16502778,-102.2951944,2004-05-09 00:00:00,28.1,12.7
22581,22.16502778,-102.2951944,2004-05-10 00:00:00,29,11.1
22581,22.16502778,-102.2951944,2004-05-11 00:00:00,30,13.3
22581,22.16502778,-102.2951944,2004-05-12 00:00:00,30.6,11.8
22581,22.16502778,-102.2951944,2004-05-13 00:00:00,31.2,13.4
